,index,epoch,train_loss,val_loss,v_accuracy,v_precision,v_recall,v_f1,params,model_num
55,15,15,5.142760883813935e-08,4.908395186066627e-06,0.9857999682426453,0.98580002784729,0.98580002784729,0.98580002784729,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
56,16,16,5.964987394690979e-06,5.612186715006828e-06,0.9850999712944031,0.9850999712944031,0.9850999712944031,0.9850999712944031,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
57,17,17,1.7805998595576966e-06,4.457578063011169e-06,0.9870999455451965,0.9871000051498413,0.9871000051498413,0.9871000051498413,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
58,18,18,6.63504238218593e-08,4.879935830831527e-06,0.9860999584197998,0.9861000180244446,0.9861000180244446,0.9861000180244446,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
59,19,19,3.2192454568757967e-07,4.814577102661133e-06,0.9873999953269958,0.9873999953269958,0.9873999953269958,0.9873999953269958,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.001}",3
60,0,0,0.002231396734714508,0.00023022615909576417,0.11169999837875366,0.11169999837875366,0.11169999837875366,0.11169999837875366,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
61,1,1,0.0022390070371329784,0.00023036978244781494,0.11169999837875366,0.11169999837875366,0.11169999837875366,0.11169999837875366,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
62,2,2,0.0022472874261438847,0.00023029816150665284,0.09799999743700027,0.09799999743700027,0.09799999743700027,0.09799999743700027,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
63,3,3,0.0004887255490757525,1.614750176668167e-05,0.946899950504303,0.9469000101089478,0.9469000101089478,0.9469000101089478,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
64,4,4,0.00011893541523022577,9.06929224729538e-06,0.9736999869346619,0.9736999869346619,0.9736999869346619,0.9736999869346619,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
65,5,5,2.660257086972706e-05,8.797260373830795e-06,0.9731999635696411,0.9732000231742859,0.9732000231742859,0.9732000231742859,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
66,6,6,4.0489421735401265e-06,7.894377410411834e-06,0.9746999740600586,0.9746999740600586,0.9746999740600586,0.9746999740600586,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
67,7,7,0.00024640143965370953,7.443986088037491e-06,0.9775999784469604,0.9775999784469604,0.9775999784469604,0.9775999784469604,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
68,8,8,5.40457695024088e-05,7.264167815446854e-06,0.9788999557495117,0.9789000153541565,0.9789000153541565,0.9789000153541565,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
69,9,9,5.841359893565823e-07,6.506749242544174e-06,0.9795999526977539,0.9796000123023987,0.9796000123023987,0.9796000123023987,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
70,10,10,5.464559581014328e-05,6.871312856674194e-06,0.9803999662399292,0.980400025844574,0.980400025844574,0.980400025844574,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
71,11,11,3.519568053889088e-05,8.208560198545456e-06,0.9783999919891357,0.9783999919891357,0.9783999919891357,0.9783999919891357,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
72,12,12,4.997135874873493e-06,6.377086043357849e-06,0.9815999865531921,0.9815999865531921,0.9815999865531921,0.9815999865531921,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
73,13,13,1.678470471233595e-05,7.121210545301437e-06,0.9813999533653259,0.9814000129699707,0.9814000129699707,0.9814000129699707,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
74,14,14,6.893483259773348e-07,6.530800461769104e-06,0.9819999933242798,0.9819999933242798,0.9819999933242798,0.9819999933242798,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
75,15,15,6.046177336571645e-09,7.337915152311325e-06,0.9818999767303467,0.9818999767303467,0.9818999767303467,0.9818999767303467,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
76,16,16,5.097973371448461e-06,9.591469913721084e-06,0.9775999784469604,0.9775999784469604,0.9775999784469604,0.9775999784469604,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
77,17,17,5.03015053254785e-06,6.894347071647644e-06,0.984499990940094,0.984499990940094,0.984499990940094,0.984499990940094,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
78,18,18,1.393794519799485e-07,7.3580600321292875e-06,0.9825999736785889,0.9825999736785889,0.9825999736785889,0.9825999736785889,"{'EPOCHS': 20, 'OPTIMIZER': 'adam', 'NUM_FILTERS': (32, 64), 'WEIGHT_INIT': 'normal', 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.01}",4
