,accuracy,precision,recall,f1,roc_auc,C,penalty,solver
170,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,l2,newton-cg
171,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,l2,newton-cholesky
172,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,l2,sag
173,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,l2,saga
186,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,,lbfgs
188,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,,newton-cg
189,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,,newton-cholesky
190,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,,sag
191,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100.0,,saga
192,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,l2,lbfgs
193,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,l2,liblinear
194,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,l2,newton-cg
195,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,l2,newton-cholesky
196,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,l2,sag
197,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,l2,saga
199,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,l1,liblinear
203,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,l1,saga
210,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,,lbfgs
212,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,,newton-cg
213,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,,newton-cholesky
214,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,,sag
215,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,1000.0,,saga
216,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,l2,lbfgs
217,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,l2,liblinear
218,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,l2,newton-cg
219,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,l2,newton-cholesky
220,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,l2,sag
221,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,l2,saga
223,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,l1,liblinear
227,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,l1,saga
234,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,,lbfgs
236,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,,newton-cg
237,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,,newton-cholesky
238,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,,sag
239,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,10000.0,,saga
240,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,l2,lbfgs
241,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,l2,liblinear
242,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,l2,newton-cg
243,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,l2,newton-cholesky
244,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,l2,sag
245,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,l2,saga
247,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,l1,liblinear
251,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,l1,saga
258,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,,lbfgs
260,0.7154654654654655,0.6367643467643468,0.5384615384615385,0.5774030317508579,0.7745182353878006,100000.0,,newton-cg
