,accuracy,precision,recall,f1,roc_auc,C,degree,gamma,kernel
406,0.7758454106280194,0.7646426122896712,0.5599264705882353,0.6395080222650107,0.8329868154158214,0.4641588833612782,8,0.0774263682681127,poly
226,0.7845893719806764,0.9296031746031744,0.4452205882352941,0.5869288103201147,0.8286837148652564,0.0021544346900318843,8,0.0774263682681127,poly
286,0.7890338164251208,0.8610930735930736,0.505514705882353,0.6243770202810683,0.8314564618951028,0.01291549665014884,8,0.0774263682681127,poly
346,0.7913526570048308,0.8192460317460316,0.5540441176470589,0.6539986715256338,0.844673645320197,0.0774263682681127,8,0.0774263682681127,poly
440,0.8354589371980676,0.9916666666666666,0.5555147058823529,0.7002511162001416,0.9767277600695452,2.782559402207126,1,0.4641588833612782,rbf
470,0.8354589371980676,0.9916666666666666,0.5555147058823529,0.7002511162001416,0.9767277600695452,2.782559402207126,8,0.4641588833612782,rbf
500,0.8354589371980676,0.9916666666666666,0.5555147058823529,0.7002511162001416,0.9767277600695452,16.68100537200059,1,0.4641588833612782,rbf
530,0.8354589371980676,0.9916666666666666,0.5555147058823529,0.7002511162001416,0.9767277600695452,16.68100537200059,8,0.4641588833612782,rbf
560,0.8354589371980676,0.9916666666666666,0.5555147058823529,0.7002511162001416,0.9767277600695452,100.0,1,0.4641588833612782,rbf
590,0.8354589371980676,0.9916666666666666,0.5555147058823529,0.7002511162001416,0.9767277600695452,100.0,8,0.4641588833612782,rbf
425,0.8658937198067633,0.9923076923076924,0.6378676470588236,0.7721408221408221,0.987179440741814,2.782559402207126,1,5.994842503189409e-05,rbf
455,0.8658937198067633,0.9923076923076924,0.6378676470588236,0.7721408221408221,0.987179440741814,2.782559402207126,8,5.994842503189409e-05,rbf
482,0.8658937198067633,0.9923076923076924,0.6378676470588236,0.7721408221408221,0.987179440741814,16.68100537200059,1,1e-05,rbf
512,0.8658937198067633,0.9923076923076924,0.6378676470588236,0.7721408221408221,0.987179440741814,16.68100537200059,8,1e-05,rbf
368,0.8658937198067633,0.9923076923076924,0.6378676470588236,0.7721408221408221,0.9875851202549984,0.4641588833612782,1,0.00035938136638046257,rbf
398,0.8658937198067633,0.9923076923076924,0.6378676470588236,0.7721408221408221,0.9875851202549984,0.4641588833612782,8,0.00035938136638046257,rbf
311,0.8680676328502417,1.0,0.6378676470588236,0.7748994428304773,0.986563677195016,0.0774263682681127,1,0.0021544346900318843,rbf
