,accuracy,precision,recall,f1,roc_auc,n_neighbors,p,weights
202,0.9471980676328504,0.9866071428571428,0.8672794117647058,0.9222455927461488,0.9858935815705592,14,4,uniform
125,0.9472463768115942,0.9633636788048554,0.8911764705882353,0.924160335182713,0.9849608809040856,8,7,distance
82,0.9472463768115942,0.9681757703081232,0.8856617647058822,0.9242910125927204,0.9804965951898,5,7,uniform
83,0.9472463768115942,0.9681757703081232,0.8856617647058822,0.9242910125927204,0.984058968414952,5,7,distance
136,0.9472463768115942,0.9708176691729322,0.8852941176470589,0.9238409821237964,0.9844528759779774,9,6,uniform
137,0.9472463768115942,0.9708176691729322,0.8852941176470589,0.9238409821237964,0.9856327875977978,9,6,distance
181,0.9472463768115942,0.9708176691729322,0.8852941176470589,0.9242771991325942,0.986225007244277,12,7,distance
162,0.9472463768115942,0.9741071428571428,0.8794117647058822,0.9234564920618872,0.9840852289191538,11,5,uniform
163,0.9472463768115942,0.9741071428571428,0.8794117647058822,0.9234564920618872,0.9855856997971604,11,5,distance
233,0.9472463768115942,0.9744257703081234,0.8790441176470587,0.9232081595910688,0.9859515357867285,16,5,distance
166,0.9472463768115942,0.97484243697479,0.8794117647058822,0.9236236043613524,0.9843251955954796,11,7,uniform
167,0.9472463768115942,0.97484243697479,0.8794117647058822,0.9236236043613524,0.9857939727615184,11,7,distance
92,0.9472463768115942,0.9805429864253394,0.8731617647058822,0.922532029547586,0.9815778035352072,6,5,uniform
455,0.9472463768115942,0.9808333333333332,0.8731617647058822,0.9226265716115548,0.9883131700956244,32,4,distance
427,0.9472463768115942,0.9808333333333332,0.8731617647058822,0.9226265716115548,0.9887260938858302,30,4,distance
412,0.9472463768115942,0.9808333333333332,0.8731617647058822,0.9226265716115548,0.9890403144016228,29,4,uniform
375,0.9472463768115942,0.9808333333333332,0.8735294117647058,0.9228526224424444,0.9878748913358446,26,6,distance
377,0.9472463768115942,0.9808333333333332,0.8735294117647058,0.923060344827586,0.986828093306288,26,7,distance
405,0.9472463768115942,0.9808333333333332,0.8735294117647058,0.923060344827586,0.9880704868154158,28,7,distance
349,0.9472463768115942,0.98125,0.8735294117647058,0.9230420163818384,0.9872084178498984,24,7,distance
524,0.9472463768115942,0.9875,0.8669117647058823,0.9219591633801868,0.9861072877426832,37,4,uniform
539,0.9472463768115942,0.9875,0.8669117647058823,0.9219591633801868,0.986420602723848,38,4,distance
510,0.9472463768115942,0.9875,0.8669117647058823,0.9219591633801868,0.9866180092726748,36,4,uniform
468,0.9472463768115942,0.9875,0.8669117647058823,0.9219591633801868,0.9867465951898,33,4,uniform
482,0.9472463768115942,0.9875,0.8669117647058823,0.9219591633801868,0.986840770791075,34,4,uniform
525,0.9472463768115942,0.9875,0.8669117647058823,0.9219591633801868,0.9870490437554332,37,4,distance
469,0.9472463768115942,0.9875,0.8669117647058823,0.9219591633801868,0.9883131700956244,33,4,distance
522,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9876892567371776,37,3,uniform
494,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9880134381338742,35,3,uniform
480,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9881148580121704,34,3,uniform
508,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9882162778904664,36,3,uniform
537,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9883004926108374,38,3,distance
551,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9883059258186032,39,3,distance
565,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9883186033033904,40,3,distance
563,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9885033323674298,40,2,distance
523,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9885105766444507,37,3,distance
509,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9889361779194434,36,3,distance
466,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9889579107505072,33,3,uniform
452,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9894858374384234,32,3,uniform
453,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9895881628513472,32,3,distance
410,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9900092364532018,29,3,uniform
424,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9900155751955956,30,3,uniform
438,0.9472463768115942,0.9875,0.8672794117647058,0.92241762733003,0.9900182917994784,31,3,uniform
